"id","title","body","created_at","closed_at","days_to_close","issue_priority","milestone","author_name","user_atribute_to_resolve_issue","issue_classification"
47,"Split up `common_methods_invocations.py`?","`common_methods_invocations.py` has grown to 22K lines and over 1MB in file size. One implication of this is you can't open it in the GitHub UI or link to specific lines of code.

I propose creating an opinfos folder and where there are currently different categories, such as `UnaryUfuncInfo` or `ReductionOpInfo`, these could be their own file. ","2022-07-29","2024-07-17","719","priorized",NULL,"peterbell10","lezcano","OTHERS"
48,"[FSDP] `clip_grad_norm()` fails in `test_fsdp_core.py`","`clip_norm` and `norm_type` in `_test_identical_outputs()` (i.e. the testing subroutine for `test_fsdp_core.py`) do not propagate to `_train_for_several_steps()` (i.e. the training subroutine for `_test_identical_outputs()`). 
https://github.com/pytorch/pytorch/blob/5af48581b5098eefaaa8b7ec55a5fabc5027c8e5/torch/testing/_internal/common_fsdp.py#L543-L544
Fixing this yields to failing tests.

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @SciPioneer @H-Huang @kwen2501 @ezyang","2022-07-05","2022-12-14","162","priorized",NULL,"Andrew Gu","awgu","OTHERS"
49,"[BE] Refactor FSDP Unit Tests","## Motivation & Goals
1. In H2, we plan to land new FSDP features such as non-recursive wrapping and multiple parameter group support within one `FlatParameter`. Since these features correspond to distinct code paths, the core unit tests need to parameterize over them. This means an increase in the time-to-signal (TTS) by up to 4x and may increase with further features (e.g. native XLA support).
**Goal 1: Cut down the existing TTS while maintaining feature coverage**.
2. The test files have become fragmented. Despite the existence of `common_fsdp.py`, test files often define their own models and training loops, leading to redundancy, and the methods that do exist in `common_fsdp.py` are not well-documented, leading to confusion.
**Goal 2: Refactor common models and boilerplate to `common_fsdp.py`.**
3. For the non-recursive wrapping code path, the model construction differs from the existing recursive wrapping code path. As a result, much of the existing tests cannot be directly adapted to test the non-recursive path by simply changing a single `FullyShardedDataParallel` constructor call.
**Goal 3: Refactor model construction to enable simpler testing for the non-recursive wrapping path.**

## Status Quo
On the AI AWS cluster with 2 A100 GPUs, the current TTS is approximately **4967.06 seconds = 82.78 minutes = 1.38 hours**[0]. PyTorch Dev Infra has asked to have our multi-GPU tests run in < 75 minutes in CI, which uses P60 GPUs.

The largest contributors to the TTS are `test_fsdp_core.py` (2191.89 seconds = 36.53 minutes) and `test_fsdp_mixed_precision.py` (1074.42 seconds  = 17.91 minutes), representing almost 2/3 of the total. Since these test the core FSDP runtime, newly-added code paths will target these tests.

[0]This is a point estimate from running each test file once and excludes recent changes to the test files (my stack was rebased on a commit from 6/21).

## Approach

I will proceed with a series of PRs. The order will be to address Goal 3 -> Goal 1 -> Goal 2.
- For Goal 3, I will introduce a common interface `FSDPTestModel`.
https://github.com/pytorch/pytorch/pull/80873
- For Goal 1, I will use `self.subTest()` with `dist.barrier()` to avoid the expensive process spawn and `dist.init_process_group()` for each parameterization.
https://github.com/pytorch/pytorch/pull/80908
https://github.com/pytorch/pytorch/pull/80915

https://blog.ganssle.io/articles/2020/04/subtests-in-python.html
> There are, however, occasionally situations where the subTest form factor offers some advantages even in parameterization. For example, if you have a number of tests you'd like to perform that have an expensive set-up function that builds or acquires an immutable resource that is used in common by all the subtests:
- For Goal 2, I will perform a deep comb through the existing test suite. 

## Related Issues
https://github.com/pytorch/pytorch/issues/80872
https://github.com/pytorch/pytorch/issues/78277
https://github.com/pytorch/pytorch/issues/67288

cc @zhaojuanmao @mrshenli @rohan-varma @ezyang","2022-07-05","2024-03-10","614","priorized",NULL,"Andrew Gu","awgu","OTHERS"
50,"Delete internal php code for viable/strict promotion","Since we have have migrated promoting to the viable/strict branch to an open-source GHA, we can now delete the internal php code that previously handled promoting from master to viable/strict on `pytorch/pytorch`. 

cc @seemethere @malfet @pytorch/pytorch-dev-infra","2022-06-20","2022-07-22","32","priorized",NULL,"Sarah Wang","swang392","OTHERS"
51,"[BE][ZeRO] Enable multigpu unit tests","Following https://github.com/pytorch/pytorch/pull/77947, we should enable `ZeroRedundancyOptimizer` multigpu unit tests.

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @SciPioneer @H-Huang @kwen2501","2022-06-13","2024-03-10","636","priorized",NULL,"Andrew Gu","Andrew Gu","SOFTWARE ARCHITECTURE, PROJECT PATTERNS"
52,"Add doc formatting check to lintrunner","From @mruberry: Docs are difficult to build locally (our documentation for how to do so is often out of date) and formatting errors in CI appear without line numbers (in at least some cases). Some recent example errors/warnings:

```
/opt/conda/lib/python3.7/site-packages/torch/__init__.py:docstring of torch.set_float32_matmul_precision:22: ERROR: Unexpected indentation.
/opt/conda/lib/python3.7/site-packages/torch/__init__.py:docstring of torch.set_float32_matmul_precision:23: WARNING: Block quote ends without a blank line; unexpected unindent.
```

If lintrunner could detect doc formatting issues it would making adding/updating docs much easier.","2022-06-13","2024-04-03","660","priorized",NULL,"Michael Suo","clee2000","PROJECT PATTERNS"
53,"Improve auto_wrap_policy documentation","### 📚 The doc issue

A few improvements can be made to the doc of auto_wrap_policy:
- Add expected type of callable
- Clarify what the policy function should return, and how its used (i.e. what's done depends on `recurse` flag). 


### Suggest a potential alternative/fix

_No response_

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @SciPioneer @H-Huang @kwen2501","2022-05-26","2022-05-31","5","low priority",NULL,"Rohan Varma","Rohan Varma","OTHERS"
54,"[FSDP][BE] Refactor unit tests to use a few canonical models","In the rush to push features, we have introduced a few test-file-specific models outside of `common_fsdp.py`. As a better engineering task, we should refactor the existing FSDP tests to use a few canonical models that exercise all of the relevant edge cases:
- 3+ levels of nesting (for asymmetric # of levels down versus up when recursing)
- Non-root FSDP with FSDP children and non-FSDP children in different orders (e.g. for three child modules: FSDP, non-FDSP, FSDP versus non-FSDP, non-FSDP, FSDP etc.)
-Ignored modules at every level
- Buffers
- Shared parameters (shared buffers?)
- FSDP instances with and without parameters

It should be the case that if we add a feature and it works for our set of canonical models, then we have strong confidence that the feature is robust.

Some of the boilerplate training code may also be refactored.


cc @zhaojuanmao @mrshenli @rohan-varma","2022-05-25","2022-10-01","129","priorized",NULL,"Andrew Gu","awgu","PROJECT PATTERNS"
55,"[primTorch] many primTorch test xfails are due to chalf","We should fix these issues or stop testing the references in chalf for now -- it's an outsized developer efficiency issue

cc @ezyang @anjali411 @dylanbespalko @mruberry @Lezcano @nikitaved @ngimel","2022-05-21","2022-05-22","1","priorized",NULL,"Mike Ruberry","kshitij12345","SOFTWARE ARCHITECTURE"
56,"TORCH_DISTRIBUTED_DEBUG should print the expected CollectiveFingerPrint","### 🚀 The feature, motivation and pitch

During collective mismatch detection, we print errors as follows:

```
RuntimeError: Detected mismatch between collectives on ranks. Rank 0 is running inconsistent collective: CollectiveFingerPrint(OpType=BROADCAST, TensorShape=[34112], TensorDtypes=Float, TensorDeviceTypes=TensorOptions(dtype=float (default), device=cuda, layout=Strided (default), requires_grad=false (default), pinned_memory=false (default), memory_format=(nullopt))
```

However, the problem here is that we don't actually print what is the expected CollectiveFingerPrint. Adding this information would make it much easier to debug issues.

### Alternatives

_No response_

### Additional context

_No response_

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @SciPioneer @H-Huang @kwen2501","2022-05-20","2022-06-28","39","priorized",NULL,"Pritam Damania","H-Huang","OTHERS"
57,"Type code in torch/distributed/utils.py","### 🚀 The feature, motivation and pitch

https://github.com/pytorch/pytorch/pull/77187 is moving some additional code to `torch.distributed.utils`, we should add the appropriate type annotations for this code as well. 

### Alternatives

_No response_

### Additional context

_No response_

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @SciPioneer @H-Huang","2022-05-10","2023-05-30","385","low priority",NULL,"Rohan Varma","Rohan Varma","OTHERS"
58,"Check all input parameters k and l","### 🐛 Describe the bug

# Bug
file: TensorImpl.h
function: size_between_dim_ 
bug: the function only check parameter l, not check parameter k

# reproduce
```
// Product of all dims between k and l (not including dims[k] and dims[l])
inline int64_t size_between_dim_(int k, int l, IntArrayRef dims) {
  TORCH_CHECK((unsigned)l < dims.size());
  int64_t r = 1;
  if (k < l) {
    for (int i = k + 1; i < l; ++i) {
      r *= dims[i];
    }
  } else {
    for (int i = l + 1; i < k; ++i) {
      r *= dims[i];
    }
  }
  return r;
}
```

### Versions

Collecting environment information...
PyTorch version: N/A
Is debug build: N/A
CUDA used to build PyTorch: N/A
ROCM used to build PyTorch: N/A

OS: macOS 10.15.7 (x86_64)
GCC version: (Homebrew GCC 10.2.0_4) 10.2.0
Clang version: 12.0.0 (clang-1200.0.32.29)
CMake version: version 3.20.1
Libc version: N/A

Python version: 3.9.7 (default, Sep 16 2021, 08:50:36)  [Clang 10.0.0 ] (64-bit runtime)
Python platform: macOS-10.15.7-x86_64-i386-64bit
Is CUDA available: N/A
CUDA runtime version: Could not collect
GPU models and configuration: Could not collect
Nvidia driver version: Could not collect
cuDNN version: Could not collect
HIP runtime version: N/A
MIOpen runtime version: N/A
Is XNNPACK available: N/A

Versions of relevant libraries:
[pip3] numpy==1.22.3
[pip3] torch==1.12.0a0+git7c2103a
[conda] numpy                     1.22.3                   pypi_0    pypi
[conda] torch                     1.12.0a0+git7c2103a          pypi_0    pypi","2022-05-02","2022-05-03","1","priorized",NULL,"caipengxiang","caipengxiang","PROJECT PATTERNS"
59,"Issues with typehints of F.multi_head_attention_forward","### 🐛 Describe the bug

The typehints of `torch.nn.functional.multi_head_attention_forward` is wrong (or out-dated). This makes static type checkers (mypy/pyright) unhappy.

In pyi, there are three parameters that should be optional but are not: in_proj_weight, in_proj_bias, out_proj_bias.

```python
def multi_head_attention_forward(query: Tensor,
                                 key: Tensor,
                                 value: Tensor,
                                 embed_dim_to_check: int,
                                 num_heads: int,
                                 in_proj_weight: Tensor,
                                 in_proj_bias: Tensor,
                                 bias_k: Optional[Tensor],
                                 bias_v: Optional[Tensor],
                                 add_zero_attn: bool,
                                 dropout_p: float,
                                 out_proj_weight: Tensor,
                                 out_proj_bias: Tensor,
                                 training: bool = True,
                                 key_padding_mask: Optional[Tensor] = None,
                                 need_weights: bool = True,
                                 attn_mask: Optional[Tensor] = None,
                                 use_separate_proj_weight: bool = False,
                                 q_proj_weight: Optional[Tensor] = None,
                                 k_proj_weight: Optional[Tensor] = None,
                                 v_proj_weight: Optional[Tensor] = None,
                                 static_k: Optional[Tensor] = None,
                                 static_v: Optional[Tensor] = None
                                 ) -> Tuple[Tensor, Optional[Tensor]]: ...
```

### Versions

master branch

cc @albanD @mruberry @jbschlosser @walterddr @kshitij12345 @ezyang @malfet @rgommers @xuzhao9 @gramster","2022-04-21","2022-04-27","6","priorized",NULL,"Yuge Zhang","Yuge Zhang","SOFTWARE ARCHITECTURE"
60,"FSDP should verify / broadcast model similar to DDP","### 🚀 The feature, motivation and pitch

Similar to DDP, FSDP should broadcast model states for each wrapped module from rank 0 to the rest of the ranks during __init__ to ensure all model start off at the same state before training. This will help resolve hard to debug hang / accuracy issues.

### Alternatives

_No response_

### Additional context

_No response_

cc @ezyang @gchanan @zou3519 @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @SciPioneer @H-Huang","2022-04-15","2022-06-03","49","high priority",NULL,"Rohan Varma","rohan-varma","SOFTWARE ARCHITECTURE, PROJECT PATTERNS"
61,"Standardize workflow job names","Currently we don't have any set convention for workflow job naming and so the names are not always consistent. This makes job searching and grouping difficult and harder to change in the future. We should enforce some sort of standardization and document it.

cc @seemethere @malfet @pytorch/pytorch-dev-infra","2022-04-14","2022-10-28","197","priorized",NULL,"Jane (Yuan) Xu","ZainRizvi","OTHERS"
62,"checkpointing of DDP comms hook","### 🚀 The feature, motivation and pitch

Some DDP comms hook, like PowetSGD, are stateful and must be part of model checkpointing to enable trainer restarts.

Right now, this has to be manually done by users and, in some cases, requires workaround as the state objects are not serializatible. For example: https://discuss.pytorch.org/t/how-to-resume-with-powersgd-enabled-training/148747/

DDP should include those objects available on its state_dict to make restarts feasible.


### Alternatives

Make comm hook state objects serializable and let users deal with the extra plumbing

### Additional context

_No response_

cc @ezyang @gchanan @zou3519 @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @SciPioneer @H-Huang","2022-04-12","2022-06-29","78","high priority",NULL,"Rodrigo Kumpera","rohan-varma","OTHERS"
63,"[RFC] Consolidated and unified state_dict and load_state_dict hooks","### 🚀 The feature, motivation and pitch

Today, PyTorch offers a few private hooks for `state_dict` and `load_state_dict` that exist to allow users to run post and pre processing respectively when saving and loading model checkpoints.

Current state_dict post hook: https://github.com/pytorch/pytorch/blob/master/torch/nn/modules/module.py#L1265
Current state_dict pre hook: https://github.com/pytorch/pytorch/blob/master/torch/nn/modules/module.py#L1408

This proposal seeks to:
1) Propose 2 new hooks so that state_dict and load_state_dict both have pre and post hooks
2) Aim to consolidate all of the 4 hooks and make their semantics consistent
3) Provide a vision where all 4 new APIs are public and can be used by PyTorch users in a stable fashion.


#### Current State
1) `_register_state_dict_hook` allows registration of a `Callable[self, state_dict, prefix, local_metadata] -> Optional[Dict[str, Tensor]]` and is run after the state_dict of self (and all of its children) is processed. It can modify `state_dict` and optionally return a new one.
2) `_register_load_state_dict_pre_hook` allows registration of a `Callable[state_dict, prefix, local_metadatra, missing_keys, unexpected_keys, error_msgs]` or a `Callable[self, state_dict, prefix, local_metadatra, missing_keys, unexpected_keys, error_msgs] if with_module=True]`, and is run before loading state dict into self (and all of its children).

#### Proposed State

Revamped existing APIs:
1) `register_state_dict_post_hook` -> Same as (1) above, but we've renamed it to clearly indicate this is a post hook. This is a bit inconsistent with nn.Module register_hook semantics, but arguably more clear and will be consistent with state_dict hook APIs, which should be enough for consistency. This hook will behave in the same way it currently does.
2) `register_load_state_dict_pre_hook` -> Same as (2) above, but we will remove `with_module` argument and always provide the `self` module into the API. Users can simply ignore this module in their function if needed. EDIT (@janeyx99): We should also allow the hook to optionally return a new state_dict, if desired, as it will cover the use case where one may want to completely change up the state_dict. Relevant PR https://github.com/pytorch/pytorch/pull/105953 where we have this for the optimizer.

New APIs:

1) `register_state_dict_pre_hook: Callable[self, prefix] -> None` which is a state_dict() pre hook that will be run before the state_dict is computed for self (and all of its children). We do not pass in the `destination` argument is it is deprecated into this hook.
2) `register_load_state_dict_post_hook: Callable[self] -> None` which is a `load_state_dict()` post hook that runs after state dict is loaded into self module _and_ all of its children. Note that this is consistent with the rest of the APIs - hooks are called either before or after self computation and all children computation has taken place, never in between. Another proposal is that the hook can be a `Callable[self, NamedTuple] -> NamedTuple` where the `NamedTuple` contains the `missing_keys` and `unexpected_keys` that was returned by load_state_dict, and the user can do some optional processing / addition / removal and return a new `NamedTuple`. Although, we are not aware of any use case requiring that at the moment, so suggesting to keep it simple for now.
Similar to https://github.com/pytorch/pytorch/blob/master/torch/nn/modules/module.py#L1389, we should offer a `_register_load_state_dict_post_hook` that is called after `load_state_dict` for a particular `nn.Module` is completed.

The goal is to have this hook called even for modules that aren't at the top level during load_state_dict; and this hook should be called after self module is loaded as well as all of self's children.

In addition, similar to `load_state_dict`'s existing pre-hook, state_dict should also offer a pre-hook for any module-specific preprocessing that modules may want to run before calling into `state_dict`.  This can be invoked before the call to `self._state_dict_impl`. API to register this could be `_register_state_dict_pre_hook`. Unfortunately, the current state_dict hook is a post hook but is named `_register_state_dict_hook` which is a bit unclear as to whether it is a pre/post hook. Since the API is private, we could consider refactoring `_register_state_dict_hook` to `_register_state_dict_post_hook`.

#### Plan moving forward
Since these are all public facing APIs, we can add them in addition to the old existing hooks and keep the old ones for legacy reasons and add deprecated warnings.

#### Motivating use case:
- FullyShardedDataParallel in particular needs `register_load_state_dict_post_hook` and `register_load_state_dict_pre_hook` to enter/exit the full parameter summoning context. We don't want to do this in `load_state_dict` itself since `load_state_dict` is not overridable (it won't be called for submodules). Draft PR: 

cc @albanD @mruberry @jbschlosser @walterddr @mikaylagawarecki @kshitij12345 @saketh-are","2022-04-05","2024-06-10","797","priorized",NULL,"Rohan Varma","albanD","OTHERS"
64,"[shard] support ShardedTensor setters","### 🚀 The feature, motivation and pitch

in https://github.com/pytorch/pytorch/pull/74695 we switched ShardedTensor to use torch.Tensor as a subclass, but we currently only support getters, not setters, we might need to support them to allow user to alter some attributes of sharded tensor

### Alternatives

_No response_

### Additional context

_No response_","2022-04-05","2022-08-06","123","priorized",NULL,"Wanchao","Wanchao","OTHERS"
